#S, Call, Put
2021-05-11	500	156.162	154.165	
2021-05-12	498.752	155.292	154.544	
2021-05-13	487.558	147.956	158.403	
2021-05-14	494.621	152.488	155.874	
2021-05-15	483.637	145.332	159.703	
2021-05-16	484.001	145.515	159.524	
2021-05-17	491.634	150.393	156.77	
2021-05-18	492.007	150.585	156.59	
2021-05-19	486.639	147.062	158.436	
2021-05-20	491.401	150.091	156.704	
2021-05-21	493.498	151.402	155.921	
2021-05-22	515.974	166.209	148.252	
2021-05-23	520.034	168.889	146.874	
2021-05-24	531.299	176.491	143.212	
2021-05-25	540.115	182.503	140.409	
2021-05-26	538.701	181.473	140.795	
2021-05-27	534.945	178.833	141.913	
2021-05-28	527.333	173.574	144.267	
2021-05-29	542.008	183.601	139.62	
2021-05-30	531.52	176.327	142.835	
2021-05-31	502.625	156.868	152.273	
2021-06-01	494.586	151.603	155.047	
2021-06-02	489.241	148.085	156.875	
2021-06-03	469.053	135.191	164.17	
2021-06-04	469.574	135.467	163.927	
2021-06-05	460.886	130.013	167.163	
2021-06-06	460.784	129.901	167.154	
2021-06-07	459.031	128.771	167.779	
2021-06-08	452.572	124.769	170.237	
2021-06-09	451.898	124.311	170.454	
2021-06-10	460.117	129.294	167.219	
2021-06-11	463.788	131.514	165.77	
2021-06-12	456.594	127.031	168.482	
2021-06-13	470.224	135.428	163.25	
2021-06-14	478.252	140.441	160.237	
2021-06-15	474.933	138.29	161.406	
2021-06-16	481.694	142.531	158.887	
2021-06-17	494.096	150.467	154.422	
2021-06-18	494.604	150.746	154.195	
2021-06-19	491.688	148.802	155.169	
2021-06-20	503.707	156.601	150.95	
2021-06-21	490.062	147.649	155.644	
2021-06-22	488.746	146.748	156.061	
2021-06-23	483.977	143.635	157.718	
2021-06-24	484.736	144.07	157.395	
2021-06-25	502.046	155.25	151.266	
2021-06-26	501.966	155.145	151.243	
2021-06-27	497.749	152.332	152.648	
2021-06-28	494.501	150.165	153.731	
2021-06-29	488.284	146.093	155.877	
2021-06-30	472.26	135.855	161.665	
2021-07-01	462.615	129.75	165.207	
2021-07-02	470.427	134.556	162.203	
2021-07-03	481.46	141.47	158.084	
2021-07-04	468.308	133.132	162.901	
2021-07-05	458.901	127.266	166.442	
2021-07-06	474.258	136.759	160.58	
2021-07-07	475.863	137.719	159.937	
2021-07-08	474.279	136.67	160.474	
2021-07-09	488.599	145.732	155.216	
2021-07-10	468.65	133.045	162.479	
2021-07-11	474.282	136.521	160.325	
2021-07-12	474.168	136.398	160.318	
2021-07-13	479.34	139.614	158.362	
2021-07-14	467.497	132.126	162.719	
2021-07-15	478.582	139.032	158.541	
2021-07-16	484.226	142.569	156.436	
2021-07-17	469.913	133.48	161.661	
2021-07-18	468.818	132.747	162.025	
2021-07-19	478.172	138.568	158.493	
2021-07-20	476.013	137.154	159.239	
2021-07-21	471.892	134.515	160.723	
2021-07-22	461.672	128.123	164.551	
2021-07-23	460.396	127.289	164.995	
2021-07-24	449.93	120.875	169.049	
2021-07-25	457.038	125.134	166.201	
2021-07-26	456.275	124.62	166.451	
2021-07-27	457.217	125.144	166.035	
2021-07-28	456.603	124.72	166.226	
2021-07-29	456.809	124.795	166.097	
2021-07-30	467.886	131.561	161.788	
2021-07-31	466.367	130.569	162.315	
2021-08-01	479.539	138.768	157.343	
2021-08-02	490.761	145.882	153.237	
2021-08-03	495.439	148.854	151.532	
2021-08-04	496.844	149.714	150.988	
2021-08-05	497.486	150.078	150.713	
2021-08-06	498.837	150.905	150.19	
2021-08-07	479.886	138.679	156.915	
2021-08-08	489.97	145.061	153.215	
2021-08-09	487.682	143.54	153.984	
2021-08-10	497.299	149.694	150.522	
2021-08-11	507.752	156.488	146.864	
2021-08-12	499.953	151.318	149.494	
2021-08-13	500.427	151.574	149.278	
2021-08-14	521.908	165.759	141.983	
2021-08-15	520.607	164.831	142.357	
2021-08-16	529.162	170.553	139.526	
2021-08-17	498.469	150.086	149.754	
2021-08-18	512.737	159.414	144.815	
2021-08-19	509.934	157.503	145.708	
2021-08-20	504.707	154.005	147.438	
2021-08-21	500.4	151.133	148.875	
2021-08-22	494.385	147.174	150.932	
2021-08-23	511.289	158.186	145.042	
2021-08-24	521.208	164.749	141.687	
2021-08-25	526.624	168.345	139.868	
